FirstName,Phone,Notes
Aarav,9123456789,Completed task on time
Anaya,9234567890,Needs revision
Vihaan,9345678901,Excellent performance
Diya,9456789012,Follow-up required
Ishaan,9567890123,Pending approval
Meera,9678901234,Client appreciated work
Advait,9789012345,Documentation missing
Kavya,9890123456,Submitted ahead of deadline
Arjun,9001234567,Reviewed successfully
Myra,9012345678,Requires supervisor sign-off
Rohan,9123012345,Task reassigned
Saanvi,9234123456,Under progress
Krishna,9345234567,Need additional data
Aditi,9456345678,Completed with minor errors
Kabir,9567456789,Verified by QA team
Anika,9678567890,High priority task
Yuvan,9789678901,New deadline assigned
Tanya,9890789012,Feedback received
Vivaan,9001890123,Update documentation
Ira,9012901234,Ready for deployment
Ayaan,9123012345,Initial phase complete
Nitya,9234123456,Design approved
Reyansh,9345234567,Bug identified and fixed
Shruti,9456345678,Waiting for client input
Laksh,9567456789,Completed and closed
